name,affinity
antivir3698,-6.2
antivir3676,-6.6
antivir3105,-5.0
antivir2247,-5.6
antivir2192,-6.6
antivir1534,-6.1
antivir53,-5.8
antivir51,-5.7
antivir3408,-6.2
antivir3263,-6.2
antivir1729,-6.2
antivir2823,-6.8
antivir2811,-6.6
antivir2360,-6.5
antivir3492,-5.5
antivir586,-5.2
antivir2317,-6.3
antivir210,-6.7
antivir3653,-6.1
antivir1026,-5.9
antivir3674,-5.9
antivir343,-5.3
antivir2213,-5.5
antivir1095,-5.8
antivir2032,-6.3
antivir3107,-5.5
antivir1488,-6.9
antivir3501,-6.2
antivir2689,-5.6
antivir3765,-5.9
antivir547,-6.2
antivir61,-5.7
antivir2911,-6.2
antivir1104,-6.3
antivir2885,-6.1
antivir3141,-5.8
antivir1778,-5.8
antivir1538,-5.7
antivir363,-6.3
antivir2636,-6.3
antivir1577,-5.7
antivir204,-7.3
antivir1804,-6.0
antivir3184,-5.2
antivir2604,-4.7
antivir1706,-5.3
antivir3743,-6.5
antivir9,-7.1
antivir2903,-6.3
antivir1728,-6.5
antivir610,-5.6
antivir1800,-5.3
antivir3905,-6.9
antivir2546,-4.2
antivir1603,-6.4
antivir1268,-6.2
antivir3704,-6.0
antivir3045,-5.8
antivir2136,-5.8
antivir638,-7.0
antivir2715,-5.9
antivir2686,-6.3
antivir376,-5.8
antivir1568,-6.1
antivir1055,-5.6
antivir1701,-6.9
antivir2939,-6.0
antivir2550,-5.0
antivir1295,-6.1
antivir188,-7.0
antivir466,-6.3
antivir1335,-6.5
antivir846,-6.4
antivir3839,-6.0
antivir2895,-6.1
antivir2138,-5.9
antivir1210,-6.6
antivir2378,-6.5
antivir648,-5.9
antivir1038,-6.9
antivir2240,-5.7
antivir467,-6.3
antivir1717,-6.1
antivir151,-6.7
antivir2537,-5.1
antivir2387,-7.3
antivir1705,-5.8
antivir1161,-6.6
antivir2230,-5.7
antivir2800,-6.4
antivir682,-6.2
antivir618,-6.3
antivir548,-5.1
antivir2694,-6.5
antivir2654,-5.6
antivir3427,-6.5
antivir3301,-5.4
antivir1365,-6.1
